MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00007-7501,735-R1,1 COENTIES SLIP,1,10004,40.703627,-74.010607,1,1,9,"1,077,806","1,000,077,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,42,"1,920","36,500","1,222,750",33.5,"5,810,000",159,1-00097-0024,225 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,"1,900","15,400","654,000",42.5,"3,280,000",213,0.55,1-00097-0030,36 PECK SLIP,SOUTHBRIDGE,C7-WALK-UP,12,"1,900","17,475","732,000",41.9,"3,670,000",210,0.55
1-00015-7502,1557-R1,20 WEST STREET,1,10004,40.706358,-74.016151,1,1,13,"1,087,243","1,000,157,502",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,282,"1,930","249,076","9,464,888",38,"47,500,002",191,1-00042-0022,10 LIBERTY STREET,FINANCIAL,D8-ELEVATOR,288,"2,002","387,000","13,579,420",35.1,"65,000,000",168,0.45,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,"2,003","627,330","25,002,565",39.9,"125,000,000",199,0.5
1-00016-7501,308-R1,377 RECTOR PLACE,1,10280,40.709506,-74.018002,1,1,"31,704","1,000,061","1,000,167,501",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,239,"1,985","219,495","7,682,325",35,"36,800,005",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7502,313-R1,320 ALBANY STREET,1,10280,40.710165,-74.016751,1,1,"31,704","1,000,301","1,000,167,502",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,133,"1,986","139,719","4,890,165",35,"23,399,997",167,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7503,385-R1,250 SOUTH END AVENUE,1,10280,40.709709,-74.01656,1,1,"31,704","1,065,089","1,000,167,503",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,109,"1,985","105,000","3,675,000",35,"17,600,009",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7504,360-R1,300 ALBANY STREET,1,10280,40.710118,-74.016574,1,1,"31,704","1,000,436","1,000,167,504",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,107,"1,986","87,479","3,061,765",35,"14,700,006",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7505,371-R1,380 RECTOR PLACE,1,10280,40.709311,-74.017764,1,1,"31,704","1,000,544","1,000,167,505",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,247,"1,987","255,845","8,954,575",35,"42,900,004",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7506,398-R1,280 RECTOR PLACE,1,10280,40.708921,-74.016505,1,1,"31,704","1,065,199","1,000,167,506",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,121,"1,985","106,129","3,714,515",35,"17,799,993",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7507,450-R1,300 RECTOR PLACE,1,10280,40.709097,-74.017104,1,1,"31,704","1,065,321","1,000,167,507",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,154,"1,986","126,008","4,410,280",35,"21,099,999",167,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7508,498-R1,200 RECTOR PLACE,1,10280,40.708809,-74.016116,1,1,"31,704","1,065,475","1,000,167,508",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,546,"1,987","586,224","20,517,840",35,"98,299,985",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7509,621-R1,21 SOUTH END AVENUE,1,10280,40.708114,-74.01763,1,1,"31,704","1,075,698","1,000,167,509",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,182,"1,988","208,281","7,289,835",35,"34,899,998",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7510,779-R1,99 BATTERY PLACE,1,10280,40.707977,-74.016729,1,1,"31,704","1,080,815","1,000,167,510",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,293,"1,988","341,489","11,952,115",35,"57,300,016",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
